Station,Year,region,PC1_tmin,PC2_tmin,PC3_tmin
USC00417184,2006,Gulf Coast,25.536180867695542,1.2069500881615376,0.30813829321310493
USC00417184,2007,Gulf Coast,23.902880195264224,-0.14615917542930035,1.4113144925963468
USC00417184,2008,Gulf Coast,23.988629609742965,1.976147022524433,-0.0971490045289869
USC00417184,2009,Gulf Coast,23.10998201071739,1.4000717099657258,-1.365648495787184
USC00417184,2010,Gulf Coast,20.39142978805537,-2.2774674245186084,-0.07604224500564527
USC00417184,2011,Gulf Coast,24.6151768124626,0.280196575289402,0.5115800916268647
USC00417184,2012,Gulf Coast,27.91068551930495,3.4680337818527462,2.9414578214169893
USC00417184,2013,Gulf Coast,23.452390325297912,2.4430208568074114,-0.6769009906341275
USC00417184,2014,Gulf Coast,20.761554414596702,-4.100463020820204,4.212785152766791
USC00417184,2015,Gulf Coast,23.380902637883437,-2.9897708281202746,2.1938558906240075
USC00417184,2016,Gulf Coast,27.009326200458204,-0.6411378787344546,0.8145331424777673
USC00417186,1980,Gulf Coast,17.75532721262431,-2.0339067658473624,-0.5482124653473903
USC00417186,1981,Gulf Coast,20.62147291988947,-2.4827145535511193,0.4717047136515369
USC00417186,1982,Gulf Coast,19.351504796131323,-3.0513851472983546,-0.058495448822363016
USC00417186,1983,Gulf Coast,16.159440271588807,0.42771616525025635,-3.1018759650871246
USC00417186,1984,Gulf Coast,20.24729141573986,-4.141825096404855,3.0926640920412645
USC00417186,1988,Gulf Coast,14.970399546865195,-2.5443094958584282,3.949359694954179
USC00417186,1995,Gulf Coast,18.90201049144021,-3.0608642001145654,0.9781142304832784
USC00417186,1996,Gulf Coast,22.798039156667862,-3.4395367353644453,-0.4087068538724168
USC00417186,1997,Gulf Coast,24.29416518980654,-2.372082226209322,-1.7921494680986108
USC00417186,1998,Gulf Coast,26.594204798274944,-0.23155708622766014,-2.244013461256319
USC00417186,2006,Gulf Coast,24.007298204178667,0.4775357404429563,-0.5052762570915128
USC00417186,2009,Gulf Coast,17.890909928328604,-0.37019404129319256,-4.926078586500132
USC00417186,2010,Gulf Coast,15.403616256318706,-4.282848276122824,-1.947907069961321
USC00417186,2011,Gulf Coast,17.671286670841823,-5.811197170530939,-0.9401677922665961
USC00417186,2012,Gulf Coast,23.71624558981516,-0.6069889251278724,0.6974448788717993
USC00417195,2015,Gulf Coast,20.019187210392367,-3.6526682786381173,1.3043719424028133
USC00417206,1980,West,-12.806579553128671,-3.4190779606702115,0.25133934933440827
USC00417206,1981,West,-9.261377982555139,-1.2959557990924395,0.7488182031683763
USC00417206,1982,West,-12.954287173741744,-1.2090358404927564,1.1092730633353867
USC00417206,1983,West,-14.178161428145863,1.005910303921361,-2.9746572523336354
USC00417206,1984,West,-11.816126391833247,-2.3586140603375796,2.1324432477936206
USC00417206,1985,West,-10.537906368044101,-0.6074911892104851,-2.345076757766435
