Station,Year,region,PC1_prcp,PC2_prcp,PC3_prcp
US1TXMRN002,2021,East,928.4197807611622,789.3895157908714,-865.8611637156678
US1TXMRN005,2018,East,1816.2354347582032,-1326.4012848847701,1851.815240386707
US1TXMRN005,2019,East,2457.670473239098,272.5569685467508,-1393.8445099944413
US1TXMRN005,2020,East,1360.197166637688,589.4834710980308,976.6667349025187
US1TXMRN005,2021,East,1127.9194486976612,812.2027340049219,-573.4499719687542
US1TXMRR002,2012,East,-1212.6221559276241,465.69280839978285,-156.64804368832807
US1TXMRR002,2013,East,-663.5193235221777,-467.50276906637566,473.0742193797031
US1TXMRR003,2012,East,-1222.7679220399593,508.59361063546794,-166.67392463334028
US1TXMRR003,2013,East,-1379.528583300998,53.23033645826388,-410.9171638308926
US1TXMRR005,2019,East,760.862290330158,-242.74630036177163,-1324.1349923174485
US1TXMRR005,2020,East,-15.00371289252007,503.54099278428157,-888.5322610525882
US1TXMSN001,2008,Central,-886.4611986529326,620.7708214007739,-269.04895885942636
US1TXMSN003,2009,Central,-672.6471423735777,-983.4351736262286,735.2139808844973
US1TXMSN003,2012,Central,-739.6305540013966,-148.99646609773546,-441.5512663259709
US1TXMSN003,2013,Central,-684.0030190621908,-392.9294323744822,329.60606108171135
US1TXMSN004,2008,Central,-1252.22712956153,270.2088156315365,-352.21486107319663
US1TXMSN004,2009,Central,-344.6188141812097,-1084.712130146449,748.3911394325524
US1TXMSN004,2010,Central,-744.6051938917224,-91.83229750142054,-5.467188131844182
US1TXMSN006,2014,Central,-542.7903519229446,-506.46183290373096,-561.094415911779
US1TXMSN006,2015,Central,643.4535972554509,-467.7988073581005,-1434.2385399987536
US1TXMSN006,2016,Central,60.493495374358645,995.1331588519065,284.2112265462912
US1TXMSN006,2017,Central,-802.2073043530447,862.9426920542134,504.81511258194644
US1TXMSN006,2018,Central,774.0506116890747,-2852.010011242337,1084.3134107869328
US1TXMSN006,2019,Central,-914.8997009393913,-6.102795137998044,-837.9847467589841
US1TXMSN006,2020,Central,-360.6777947023097,23.57161960110102,-546.7784658345151
US1TXMSN006,2021,Central,-737.969187669459,-210.07204362943295,-206.05029455320505
US1TXMSN008,2015,Central,753.2161135241927,-381.5637818655223,-1448.723941614589
US1TXMSN008,2016,Central,-272.05809657144687,503.3617587211976,171.90208066930563
US1TXMSN008,2017,Central,-1580.398222957925,231.14782411018243,368.7233656661068
US1TXMSN008,2018,Central,630.8936811619178,-1604.8832695946967,861.2302701626569
US1TXMSN008,2019,Central,-1167.00042958152,-82.36003747295635,-957.3519559296277
US1TXMSN008,2020,Central,-965.6984973980261,201.8707264876838,-667.5070691451014
US1TXMSN008,2021,Central,-785.8416663393248,-503.03779826134223,-375.8838582965218
US1TXMSN009,2015,Central,485.65375851726003,-326.72189594368945,-1177.6407947020675
US1TXMSN010,2016,Central,-1052.778610297539,574.3214475336991,-322.5553704611142
US1TXMSN010,2017,Central,-1125.7257315785791,120.56075684824762,-386.8063782077003
US1TXMSN010,2018,Central,-1185.3041072315007,182.5881530285577,361.5311231317594
US1TXMSN015,2021,Central,-805.9595697813736,-291.8400800702616,-551.1583843333431
US1TXMTC001,2016,West,-300.02269497544785,-1.4513241159114045,-56.616997618565165
US1TXMTC001,2017,West,-1148.442574399984,685.8367305299264,-2.7696881108639673
US1TXMTC001,2018,West,-655.9689611296683,-1131.9638164120981,60.26275461291459
US1TXMTC001,2020,West,-1345.6565148055952,-672.7561827303178,501.539915922613
US1TXMTG002,2008,Gulf Coast,-737.50648578233,-419.5716539918683,-71.40868033023969
US1TXMTG004,2016,Gulf Coast,1041.4129776317604,2572.460717716125,217.84179982236049
US1TXMTG004,2017,Gulf Coast,-711.2533731669821,1161.0529078800778,340.84520392970273
US1TXMTG004,2018,Gulf Coast,766.2510733815639,-561.3068233073345,709.2319683894922
US1TXMTG004,2019,Gulf Coast,608.5972462221248,392.9708871503934,-92.92753621438021
US1TXMTG004,2020,Gulf Coast,440.8892398232524,548.4515398160871,-732.2369573779849
US1TXMTG004,2021,Gulf Coast,1663.5405119236857,530.3806020302706,-1311.7002031950174
US1TXMVR002,2008,West,-1476.3894152465705,635.9535897077134,-404.1775821200232
US1TXMVR002,2009,West,-1474.1486572880667,-638.1749869301225,120.6789859579925
US1TXMVR002,2010,West,-627.9275943456225,-25.57869816497356,-438.52905668036817
US1TXMVR002,2011,West,-1321.333038053952,-291.1449691891587,12.033606401817678
US1TXMVR006,2008,West,-1549.0071421262858,908.0970047215116,141.22027535638858
US1TXMVR006,2009,West,-1568.2270205140849,-996.7438869622932,641.5546696400055
US1TXMVR008,2008,West,-1296.7940871874746,1108.8006797181606,70.73322128511268
US1TXMVR008,2009,West,-1388.7183170148012,-562.7138896178925,-130.95602305104745
US1TXMVR008,2010,West,-1025.9025471017533,-249.54989254758098,-15.046396110420005
