Station,Year,region,PC1_tmax,PC2_tmax,PC3_tmax
USR0000TKIR,2014,East,-0.8388949500814675,2.204741451988532,-1.028261832713099
USR0000TKIR,2015,East,3.9151852742138686,3.1351818000299616,-3.6563639362448157
USR0000TKIR,2016,East,7.034524233350638,2.9688596064693513,0.3987459047448141
USR0000TKIR,2017,East,6.978500154156038,3.1021286795594065,6.384813312408095
USR0000TKIR,2018,East,2.6433165833465893,-0.7450440240569236,3.056481746406199
USR0000TKIR,2019,East,2.2332705598448115,2.230274691219691,0.5563586697640659
USR0000TKIR,2020,East,4.799038334192119,2.6749765377661774,1.2210542559184248
USR0000TKIR,2021,East,3.0177351239467214,6.090224594123644,-2.383250503769183
USR0000TLAG,2003,Gulf Coast,8.851181998890013,5.156219663236207,0.2589554262432401
USR0000TLAG,2004,Gulf Coast,9.250662037872473,6.749355224474137,0.40447087308903207
USR0000TLAG,2005,Gulf Coast,11.550864932527674,5.0246037549687514,2.761673363407926
USR0000TLAG,2006,Gulf Coast,13.249377319451483,5.1512708330001615,4.308929467938508
USR0000TLAG,2007,Gulf Coast,8.758195242752649,7.133369477803772,0.45700162512242315
USR0000TLAG,2008,Gulf Coast,10.479888488416535,5.895523505426713,6.2968335549929115
USR0000TLAG,2009,Gulf Coast,10.881162119929613,1.6903697293596878,4.5483796087785855
USR0000TLAG,2010,Gulf Coast,7.576943405159142,6.417462692048069,-0.6935666858134013
USR0000TLAG,2011,Gulf Coast,11.680115906945275,4.190026896731645,0.7777546382483891
USR0000TLAG,2012,Gulf Coast,14.13484222433344,5.843737144290181,1.6606499649004434
USR0000TLAG,2013,Gulf Coast,8.588674776656347,3.4208923924266443,3.993160804623159
USR0000TLAG,2014,Gulf Coast,7.312123091505896,5.672229781665941,1.2301800186921596
USR0000TLAG,2015,Gulf Coast,7.987472680879492,8.055894389842667,-0.9701883461535274
USR0000TLAG,2016,Gulf Coast,13.241736206841026,6.256280937519072,1.6578219699455303
USR0000TLAG,2017,Gulf Coast,15.27957851900851,3.595041281038604,6.77022734494545
USR0000TLAG,2018,Gulf Coast,8.80592422986119,3.3269104160321277,4.286984846639932
USR0000TLAG,2019,Gulf Coast,9.586221903631781,5.14908852266602,1.3799566669034888
USR0000TLAG,2020,Gulf Coast,14.270284094509037,5.611621777863277,3.4650402478811593
USR0000TLAG,2021,Gulf Coast,10.30974105447875,9.1218859483857,-1.185259087175993
USR0000TLBJ,2000,Central,-6.827016047265801,-6.940624811338779,2.5930848047133956
USR0000TLBJ,2001,Central,-7.6137858564066505,-0.5262231826019388,-2.3400546152740063
USR0000TLBJ,2002,Central,-7.1337257942488606,-0.025653149215493443,0.3872762373226877
USR0000TLBJ,2003,Central,-3.7535709373834294,-0.048019206211641574,-3.267625585899893
USR0000TLBJ,2004,Central,-6.394323473379103,2.833668291152783,0.18591522243076497
USR0000TLBJ,2005,Central,-1.94589053708917,0.005764178092078964,-3.261322136208321
USR0000TLBJ,2006,Central,1.0628436855915453,-3.8153560280787886,-0.6246485871791734
USR0000TLBJ,2007,Central,-6.84404103265679,3.048343460526624,-1.3550355003306507
USR0000TLBJ,2008,Central,-2.918065266460502,-1.0877836776854082,0.8026743515096584
USR0000TLBJ,2009,Central,-5.223044732260561,-4.073860993525088,4.852959037357902
USR0000TLBJ,2010,Central,-6.781422586100675,-0.43160261395463806,-7.513253013186876
USR0000TLBJ,2011,Central,-0.3604789923554108,-8.082433509860174,-5.254317140257754
USR0000TLBJ,2012,Central,1.4553248774614786,-2.345506063188644,-1.1284144910092522
USR0000TLBJ,2013,Central,-5.391264065681497,-3.346882351392459,-0.21223438846625697
USR0000TLBJ,2014,Central,-6.240863069157172,-0.3963588960911437,-2.2412336896401683
USR0000TLBJ,2015,Central,-4.918687739562202,2.2539547641010813,-5.313714165722438
USR0000TLBJ,2016,Central,-1.6036622922221113,1.0571074880378504,0.7146275015692183
USR0000TLBJ,2017,Central,1.0488734453578985,-0.14828696897339455,4.262325252208381
USR0000TLBJ,2018,Central,-6.396858299328613,-5.193981388399081,0.28883546762359913
USR0000TLBJ,2019,Central,-6.091321960674307,0.26080639730082567,-3.2796883257778973
USR0000TLBJ,2020,Central,-3.0097686621231787,0.5633816348849194,-0.29651733099720445
